"","Watershed","Site.ID","Day","BStrm","BFresh","BSwamp","BImp","BSalt"
"2372","Blackstone",258,68,4,10.6828571656042,0,4268.75356958235,0
"2377","Blackstone",125,68,4,0.86820305277245,0,2.10962987393845,0
"2380","Blackstone",325,68,3,4.65322194924333,0,33332.2815463605,0
"2385","Woonasquatucket-Moshassuck",30,79,1,10.2312492212675,0,3.690986261856,0
"2386","Woonasquatucket-Moshassuck",35,79,1,31.92480737225,0,0,0
"2387","Woonasquatucket-Moshassuck",32,79,1,48.2489328278812,0,1.07428178069655,0
"2390","Woonasquatucket-Moshassuck",33,79,1,39.0380533370723,0,0.034347577600057,0
"2396","Blackstone",296,80,3,0,0,4848.23700845707,0
"2402","Blackstone",294,80,3,1.81857545813045,0,3216.04270840113,0
"2412","Blackstone",292,80,3,0,0.716122419525808,2485.56357326569,0
"2416","Blackstone",293,80,4,1.99151850534031,0.772341396778202,0,0
"2430","Blackstone",242,81,2,14.7757612199719,8.39738350296818,0,0
"2438","Blackstone",297,155,NA,6.68224690689273,0,143.166155797586,0
"2501","Blackstone",323,157,3,0,10.45193294055,0,0
"2670","Blackstone",106,170,NA,49.5473089638789,0,5.50380420599326,0
"2672","Blackstone",105,170,NA,48.0111110645722,0,9.1001029476313,0
